"filename", "language", "Docker", "Python", "Go Module File", "Go Checksum File", "Go", "TypeScript", "JSON", "Dotenv", "Ignore", "JSON with Comments", "JavaScript", "vue", "HTML", "PostCSS", "XML", "comment", "blank", "total"
"c:\Proyectos\capacitaciones'mh\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Proyectos\capacitaciones'mh\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Proyectos\capacitaciones'mh\Dockerfile", "Docker", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 35
"c:\Proyectos\capacitaciones'mh\fix_encoding.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Proyectos\capacitaciones'mh\frontend\.oxlintrc.json", "JSON", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Proyectos\capacitaciones'mh\frontend\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Proyectos\capacitaciones'mh\frontend\eslint.config.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Proyectos\capacitaciones'mh\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"c:\Proyectos\capacitaciones'mh\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 5987, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5988
"c:\Proyectos\capacitaciones'mh\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Proyectos\capacitaciones'mh\frontend\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Proyectos\capacitaciones'mh\frontend\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Proyectos\capacitaciones'mh\frontend\src\api.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Proyectos\capacitaciones'mh\frontend\src\assets\base.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 14, 85
"c:\Proyectos\capacitaciones'mh\frontend\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Proyectos\capacitaciones'mh\frontend\src\assets\main.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 526, 0, 0, 46, 572
"c:\Proyectos\capacitaciones'mh\frontend\src\components\AppSidebar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 14, 120
"c:\Proyectos\capacitaciones'mh\frontend\src\components\ContentTypeSelector.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 5, 132
"c:\Proyectos\capacitaciones'mh\frontend\src\components\CourseCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 19, 146
"c:\Proyectos\capacitaciones'mh\frontend\src\components\CourseEditorDrawer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 20, 167
