Date : 2026-05-27 17:30:29
Directory : c:\Proyectos\capacitaciones'mh
Total : 86 files,  20998 codes, 78 comments, 1427 blanks, all 22503 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| vue                |         40 |     10,086 |         75 |        917 |     11,078 |
| JSON               |          5 |      6,073 |          0 |          8 |      6,081 |
| Go                 |         17 |      2,856 |          1 |        359 |      3,216 |
| Python             |          2 |        818 |          0 |         10 |        828 |
| PostCSS            |          2 |        597 |          0 |         60 |        657 |
| TypeScript         |         10 |        347 |          1 |         46 |        394 |
| Go Checksum File   |          1 |         92 |          0 |          1 |         93 |
| Go Module File     |          1 |         37 |          0 |          3 |         40 |
| JavaScript         |          2 |         23 |          1 |          2 |         26 |
| Docker             |          1 |         22 |          0 |         13 |         35 |
| HTML               |          1 |         17 |          0 |          1 |         18 |
| Ignore             |          1 |         11 |          0 |          4 |         15 |
| JSON with Comments |          1 |         11 |          0 |          1 |         12 |
| Dotenv             |          1 |          7 |          0 |          1 |          8 |
| XML                |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |         86 |     20,998 |         78 |      1,427 |     22,503 |
| . (Files)                                                                                 |          8 |      1,139 |          0 |         63 |      1,202 |
| frontend                                                                                  |         62 |     17,155 |         77 |      1,036 |     18,268 |
| frontend (Files)                                                                          |         12 |      6,161 |          2 |         20 |      6,183 |
| frontend\src                                                                              |         50 |     10,994 |         75 |      1,016 |     12,085 |
| frontend\src (Files)                                                                      |          3 |         50 |          0 |         14 |         64 |
| frontend\src\assets                                                                       |          3 |        598 |          0 |         61 |        659 |
| frontend\src\components                                                                   |         16 |      1,785 |          0 |        190 |      1,975 |
| frontend\src\components (Files)                                                           |         11 |      1,739 |          0 |        185 |      1,924 |
| frontend\src\components\icons                                                             |          5 |         46 |          0 |          5 |         51 |
| frontend\src\router                                                                       |          1 |         69 |          0 |          5 |         74 |
| frontend\src\stores                                                                       |          2 |         48 |          0 |          9 |         57 |
| frontend\src\utils                                                                        |          2 |        149 |          0 |         12 |        161 |
| frontend\src\views                                                                        |         23 |      8,295 |         75 |        725 |      9,095 |
| frontend\src\views (Files)                                                                |          4 |        613 |          0 |         57 |        670 |
| frontend\src\views\admin                                                                  |          5 |      1,389 |          0 |        131 |      1,520 |
| frontend\src\views\instructor                                                             |          5 |      1,550 |          1 |        136 |      1,687 |
| frontend\src\views\shared                                                                 |          1 |        287 |          0 |         38 |        325 |
| frontend\src\views\user                                                                   |          8 |      4,456 |         74 |        363 |      4,893 |
| internal                                                                                  |         16 |      2,704 |          1 |        328 |      3,033 |
| internal\db                                                                               |          2 |        226 |          0 |         38 |        264 |
| internal\handlers                                                                         |         11 |      2,232 |          1 |        259 |      2,492 |
| internal\middleware                                                                       |          2 |        122 |          0 |         16 |        138 |
| internal\models                                                                           |          1 |        124 |          0 |         15 |        139 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                  | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Proyectos\capacitaciones'mh\.dockerignore                                              | Ignore             |         11 |          0 |          4 |         15 |
| c:\Proyectos\capacitaciones'mh\.env                                                       | Dotenv             |          7 |          0 |          1 |          8 |
| c:\Proyectos\capacitaciones'mh\Dockerfile                                                 | Docker             |         22 |          0 |         13 |         35 |
| c:\Proyectos\capacitaciones'mh\fix_encoding.py                                            | Python             |         28 |          0 |          4 |         32 |
| c:\Proyectos\capacitaciones'mh\frontend\.oxlintrc.json                                    | JSON               |         10 |          0 |          1 |         11 |
| c:\Proyectos\capacitaciones'mh\frontend\env.d.ts                                          | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Proyectos\capacitaciones'mh\frontend\eslint.config.ts                                  | TypeScript         |         14 |          0 |          5 |         19 |
