Date : 2026-08-13 10:55:40
Directory : /home/MictDev/Projects/Capacitaciones-mh
Total : 266 files,  77990 codes, 3447 comments, 8660 blanks, all 90097 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Go                 |        112 |     35,977 |      2,407 |      4,853 |     43,237 |
| vue                |         65 |     27,726 |        319 |      2,943 |     30,988 |
| JSON               |          7 |      8,173 |          0 |         10 |      8,183 |
| TypeScript         |         24 |      2,055 |        278 |        337 |      2,670 |
| PostCSS            |          2 |        912 |         14 |         93 |      1,019 |
| Go Checksum File   |         10 |        822 |          0 |         10 |        832 |
| Python             |          2 |        818 |          0 |         10 |        828 |
| MS SQL             |          5 |        384 |        268 |        137 |        789 |
| Go Module File     |         12 |        296 |          2 |         57 |        355 |
| YAML               |          4 |        251 |         43 |         31 |        325 |
| Docker             |         10 |        179 |         18 |         76 |        273 |
| Shell Script       |          2 |        113 |         49 |         26 |        188 |
| Markdown           |          1 |         92 |          0 |         37 |        129 |
| Makefile           |          1 |         62 |         40 |         17 |        119 |
| Properties         |          1 |         44 |          5 |         10 |         59 |
| JavaScript         |          2 |         23 |          1 |          2 |         26 |
| HTML               |          1 |         16 |          0 |          1 |         17 |
| Go Work File       |          1 |         15 |          2 |          2 |         19 |
| Ignore             |          1 |         11 |          0 |          4 |         15 |
| JSON with Comments |          1 |         11 |          0 |          1 |         12 |
| Dotenv             |          1 |          9 |          1 |          2 |         12 |
| XML                |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |        266 |     77,990 |      3,447 |      8,660 |     90,097 |
| . (Files)                                                                                                |         15 |      1,764 |        148 |        193 |      2,105 |
| .github                                                                                                  |          1 |         41 |          2 |         11 |         54 |
| .github/workflows                                                                                        |          1 |         41 |          2 |         11 |         54 |
| frontend                                                                                                 |        103 |     38,794 |        619 |      3,398 |     42,811 |
| frontend (Files)                                                                                         |         14 |      8,148 |         11 |         33 |      8,192 |
| frontend/src                                                                                             |         89 |     30,646 |        608 |      3,365 |     34,619 |
| frontend/src (Files)                                                                                     |          3 |         87 |          3 |         18 |        108 |
| frontend/src/assets                                                                                      |          3 |        913 |         14 |         94 |      1,021 |
| frontend/src/components                                                                                  |         30 |      8,253 |        109 |        826 |      9,188 |
| frontend/src/components (Files)                                                                          |         23 |      7,465 |        101 |        732 |      8,298 |
| frontend/src/components/icons                                                                            |          5 |         46 |          0 |          5 |         51 |
| frontend/src/components/store                                                                            |          2 |        742 |          8 |         89 |        839 |
| frontend/src/composables                                                                                 |          7 |        711 |        150 |        125 |        986 |
| frontend/src/router                                                                                      |          1 |         99 |         18 |          7 |        124 |
| frontend/src/stores                                                                                      |          7 |        736 |         89 |        160 |        985 |
| frontend/src/utils                                                                                       |          4 |        411 |         15 |         23 |        449 |
| frontend/src/views                                                                                       |         34 |     19,436 |        210 |      2,112 |     21,758 |
| frontend/src/views (Files)                                                                               |          8 |      2,525 |         36 |        289 |      2,850 |
| frontend/src/views/admin                                                                                 |          5 |      1,519 |          3 |        142 |      1,664 |
| frontend/src/views/instructor                                                                            |          7 |      2,688 |          8 |        274 |      2,970 |
| frontend/src/views/shared                                                                                |          5 |      4,212 |         63 |        505 |      4,780 |
| frontend/src/views/user                                                                                  |          9 |      8,492 |        100 |        902 |      9,494 |
| gateway                                                                                                  |         24 |      4,726 |        447 |        588 |      5,761 |
| gateway (Files)                                                                                          |          3 |        233 |          6 |         23 |        262 |
| gateway/cmd                                                                                              |          1 |         88 |          9 |         16 |        113 |
| gateway/cmd/server                                                                                       |          1 |         88 |          9 |         16 |        113 |
| gateway/internal                                                                                         |         20 |      4,405 |        432 |        549 |      5,386 |
| gateway/internal/clients                                                                                 |          1 |         53 |          7 |          8 |         68 |
| gateway/internal/config                                                                                  |          1 |        129 |         22 |         25 |        176 |
| gateway/internal/handler                                                                                 |         13 |      3,556 |        328 |        407 |      4,291 |
| gateway/internal/hub                                                                                     |          1 |         78 |          9 |         12 |         99 |
| gateway/internal/middleware                                                                              |          2 |        223 |         18 |         32 |        273 |
| gateway/internal/router                                                                                  |          1 |        213 |         34 |         45 |        292 |
| gateway/internal/storage                                                                                 |          1 |        153 |         14 |         20 |        187 |
| gen                                                                                                      |         16 |     17,779 |        663 |      2,303 |     20,745 |
| gen (Files)                                                                                              |          2 |         44 |          2 |          6 |         52 |
| gen/auth                                                                                                 |          2 |      1,141 |         88 |        155 |      1,384 |
| gen/cursos                                                                                               |          2 |      6,078 |        154 |        745 |      6,977 |
| gen/examenes                                                                                             |          2 |      1,657 |         70 |        226 |      1,953 |
| gen/foros                                                                                                |          2 |      1,180 |         60 |        167 |      1,407 |
| gen/lecciones                                                                                            |          2 |      4,316 |        137 |        555 |      5,008 |
| gen/mensajes                                                                                             |          2 |      1,624 |         58 |        224 |      1,906 |
| gen/usuarios                                                                                             |          2 |      1,739 |         94 |        225 |      2,058 |
| internal                                                                                                 |         30 |      4,381 |        199 |        626 |      5,206 |
| internal/cache                                                                                           |          1 |         11 |          3 |          5 |         19 |
| internal/config                                                                                          |          1 |         97 |         35 |         30 |        162 |
| internal/db                                                                                              |          2 |        377 |          5 |         58 |        440 |
| internal/handlers                                                                                        |         18 |      3,098 |         63 |        389 |      3,550 |
| internal/middleware                                                                                      |          3 |        275 |         14 |         51 |        340 |
| internal/models                                                                                          |          1 |        137 |          0 |         16 |        153 |
| internal/repository                                                                                      |          1 |         64 |         16 |         13 |         93 |
| internal/sanitize                                                                                        |          1 |         10 |         10 |          6 |         26 |
| internal/service                                                                                         |          1 |         86 |         26 |         23 |        135 |
| internal/storage                                                                                         |          1 |        226 |         27 |         35 |        288 |
| migrations                                                                                               |          4 |        301 |        230 |         96 |        627 |
| pkg                                                                                                      |          7 |        883 |        166 |        147 |      1,196 |
| pkg/mailer                                                                                               |          4 |        613 |        100 |        100 |        813 |
| pkg/money                                                                                                |          3 |        270 |         66 |         47 |        383 |
| scratch                                                                                                  |          3 |        205 |          0 |          7 |        212 |
| scripts                                                                                                  |          2 |        113 |         49 |         26 |        188 |
| services                                                                                                 |         61 |      9,003 |        924 |      1,265 |     11,192 |
| services/auth                                                                                            |          9 |      1,013 |        140 |        176 |      1,329 |
| services/auth (Files)                                                                                    |          3 |        115 |          3 |         17 |        135 |
| services/auth/cmd                                                                                        |          1 |        135 |         17 |         20 |        172 |
| services/auth/cmd/server                                                                                 |          1 |        135 |         17 |         20 |        172 |
| services/auth/internal                                                                                   |          5 |        763 |        120 |        139 |      1,022 |
| services/auth/internal/config                                                                            |          1 |         93 |         19 |         22 |        134 |
| services/auth/internal/handler                                                                           |          1 |        140 |         14 |         20 |        174 |
| services/auth/internal/model                                                                             |          1 |         19 |          4 |          4 |         27 |
